material_id,formula,elements,nelements,band_gap_eV,energy_above_hull_eV,formation_energy_per_atom_eV,density,nsites,layered_score,anisotropy_ratio,layer_axis,axis_bonds_a,axis_bonds_b,axis_bonds_c,total_bonds,layered_invalid_reason,is_layered_candidate,weak_axis_fraction,layered_continuous,weak_axis
mp-32800,Ac2S3,"Ac,S",2,2.2962,0.0,-2.4930635934375,6.535149338291522,40,1.0,0.0,a,0,0,24,256,,True,0.0,1.0,a
mp-861942,Ag2GePbS4,"Ag,Ge,Pb,S",4,1.3699,0.0,-0.550358512291666,5.680462312578542,16,1.0,0.0,c,8,8,0,64,,True,0.0,1.0,c
mp-1229122,Ag2HgI4,"Ag,Hg,I",3,1.276399999999999,0.001123387142858,-0.5112391594047601,5.746625628681051,7,1.0,0.0,a,0,0,12,24,,True,0.0,1.0,a
mp-23485,Ag2HgI4,"Ag,Hg,I",3,1.2219,0.0,-0.512362546547618,5.75190222011236,7,1.0,0.0,a,0,0,12,24,,True,0.0,1.0,a
mp-610517,Ag2S,"Ag,S",2,1.000699999999999,0.029025886666666,-0.089347979270833,6.674811817819036,12,1.0,0.0,a,0,24,0,40,,True,0.0,1.0,a
mp-568971,Ag2Se,"Ag,Se",2,0.9678,0.006764499166663,-0.126573511354168,7.087893497811947,12,1.0,0.0,c,16,8,0,40,,True,0.0,1.0,c
mp-29163,Ag2TeS3,"Ag,S,Te",3,1.2999,0.0,-0.078949780572917,5.146247485897094,12,1.0,0.0,c,8,8,0,44,,True,0.0,1.0,c
mp-561620,Ag3AsS3,"Ag,As,S",3,1.627799999999999,0.0,-0.160047236205353,5.393890423250708,28,1.0,0.0,c,12,12,0,100,,True,0.0,1.0,c
mp-1229165,Ag3Bi7S12,"Ag,Bi,S",3,0.6774999999999991,0.009427595530304,-0.351237027064392,6.569616308680433,22,1.0,0.0,c,8,8,0,116,,True,0.0,1.0,c
mp-555269,Ag3SbS3,"Ag,S,Sb",3,1.5142,0.0,-0.206789332633925,5.802740886522704,28,1.0,0.0,a,0,16,0,96,,True,0.0,1.0,a
mp-29849,Ag3SnP7,"Ag,P,Sn",3,0.5034000000000001,0.0,-0.076524263257575,4.972162214217336,22,1.0,0.0,a,0,12,8,86,,True,0.0,1.0,a
mp-1247859,Ag5Au3S4,"Ag,Au,S",3,0.9308999999999992,0.024723359444447,-0.096961325243057,7.346254701665375,12,1.0,0.0,c,18,18,0,53,,True,0.0,1.0,c
mp-568540,Ag5Hg4P8Cl5,"Ag,Cl,Hg,P",4,0.9788,0.0,-0.3892654220671,5.809155511485511,22,1.0,0.0,a,0,0,12,84,,True,0.0,1.0,a
