material_id,formula,partner,partner_type,partner_work_function_eV,vbm_eV,cbm_eV,contact_class,loc_ooc_score_robust_min,baseline_score_v3
mp-9921,ZrS3,graphene,contact,4.6,,,unknown (missing band edges),1.2811569232217658e-07,0.8109401227869206
mp-9921,ZrS3,Au,contact,5.1,,,unknown (missing band edges),1.2811569232217658e-07,0.8109401227869206
mp-9921,ZrS3,Ti,contact,4.3,,,unknown (missing band edges),1.2811569232217658e-07,0.8109401227869206
mp-9921,ZrS3,hBN,dielectric,,,,,1.2811569232217658e-07,0.8109401227869206
mp-9921,ZrS3,Al2O3,dielectric,,,,,1.2811569232217658e-07,0.8109401227869206
mp-9921,ZrS3,HfO2,dielectric,,,,,1.2811569232217658e-07,0.8109401227869206
mp-1211088,LiCaP,graphene,contact,4.6,,,unknown (missing band edges),1.201206909215623e-07,0.8305750612787466
mp-1211088,LiCaP,Au,contact,5.1,,,unknown (missing band edges),1.201206909215623e-07,0.8305750612787466
mp-1211088,LiCaP,Ti,contact,4.3,,,unknown (missing band edges),1.201206909215623e-07,0.8305750612787466
mp-1211088,LiCaP,hBN,dielectric,,,,,1.201206909215623e-07,0.8305750612787466
mp-1211088,LiCaP,Al2O3,dielectric,,,,,1.201206909215623e-07,0.8305750612787466
mp-1211088,LiCaP,HfO2,dielectric,,,,,1.201206909215623e-07,0.8305750612787466
mp-36330,Li2VCl4,graphene,contact,4.6,,,unknown (missing band edges),1.1822185158952115e-07,0.8265390366384177
mp-36330,Li2VCl4,Au,contact,5.1,,,unknown (missing band edges),1.1822185158952115e-07,0.8265390366384177
mp-36330,Li2VCl4,Ti,contact,4.3,,,unknown (missing band edges),1.1822185158952115e-07,0.8265390366384177
mp-36330,Li2VCl4,hBN,dielectric,,,,,1.1822185158952115e-07,0.8265390366384177
mp-36330,Li2VCl4,Al2O3,dielectric,,,,,1.1822185158952115e-07,0.8265390366384177
mp-36330,Li2VCl4,HfO2,dielectric,,,,,1.1822185158952115e-07,0.8265390366384177
mp-684,BaS2,graphene,contact,4.6,,,unknown (missing band edges),1.0181332619765322e-07,0.8809865141187507
mp-684,BaS2,Au,contact,5.1,,,unknown (missing band edges),1.0181332619765322e-07,0.8809865141187507
mp-684,BaS2,Ti,contact,4.3,,,unknown (missing band edges),1.0181332619765322e-07,0.8809865141187507
mp-684,BaS2,hBN,dielectric,,,,,1.0181332619765322e-07,0.8809865141187507
mp-684,BaS2,Al2O3,dielectric,,,,,1.0181332619765322e-07,0.8809865141187507
mp-684,BaS2,HfO2,dielectric,,,,,1.0181332619765322e-07,0.8809865141187507
mp-22956,K2PdCl4,graphene,contact,4.6,,,unknown (missing band edges),1.009928813089599e-07,0.8579266757297023
mp-22956,K2PdCl4,Au,contact,5.1,,,unknown (missing band edges),1.009928813089599e-07,0.8579266757297023
mp-22956,K2PdCl4,Ti,contact,4.3,,,unknown (missing band edges),1.009928813089599e-07,0.8579266757297023
mp-22956,K2PdCl4,hBN,dielectric,,,,,1.009928813089599e-07,0.8579266757297023
mp-22956,K2PdCl4,Al2O3,dielectric,,,,,1.009928813089599e-07,0.8579266757297023
mp-22956,K2PdCl4,HfO2,dielectric,,,,,1.009928813089599e-07,0.8579266757297023
mp-1186991,ScI3,graphene,contact,4.6,,,unknown (missing band edges),9.903769526349381e-08,0.8513149772450497
mp-1186991,ScI3,Au,contact,5.1,,,unknown (missing band edges),9.903769526349381e-08,0.8513149772450497
mp-1186991,ScI3,Ti,contact,4.3,,,unknown (missing band edges),9.903769526349381e-08,0.8513149772450497
mp-1186991,ScI3,hBN,dielectric,,,,,9.903769526349381e-08,0.8513149772450497
mp-1186991,ScI3,Al2O3,dielectric,,,,,9.903769526349381e-08,0.8513149772450497
mp-1186991,ScI3,HfO2,dielectric,,,,,9.903769526349381e-08,0.8513149772450497
mp-541289,Y2S3,graphene,contact,4.6,,,unknown (missing band edges),9.879424775969825e-08,0.8818513189057992
mp-541289,Y2S3,Au,contact,5.1,,,unknown (missing band edges),9.879424775969825e-08,0.8818513189057992
mp-541289,Y2S3,Ti,contact,4.3,,,unknown (missing band edges),9.879424775969825e-08,0.8818513189057992
mp-541289,Y2S3,hBN,dielectric,,,,,9.879424775969825e-08,0.8818513189057992
mp-541289,Y2S3,Al2O3,dielectric,,,,,9.879424775969825e-08,0.8818513189057992
mp-541289,Y2S3,HfO2,dielectric,,,,,9.879424775969825e-08,0.8818513189057992
mp-7475,La2S3,graphene,contact,4.6,,,unknown (missing band edges),9.740998108265609e-08,0.8196223389978112
mp-7475,La2S3,Au,contact,5.1,,,unknown (missing band edges),9.740998108265609e-08,0.8196223389978112
mp-7475,La2S3,Ti,contact,4.3,,,unknown (missing band edges),9.740998108265609e-08,0.8196223389978112
mp-7475,La2S3,hBN,dielectric,,,,,9.740998108265609e-08,0.8196223389978112
mp-7475,La2S3,Al2O3,dielectric,,,,,9.740998108265609e-08,0.8196223389978112
mp-7475,La2S3,HfO2,dielectric,,,,,9.740998108265609e-08,0.8196223389978112
mp-17597,Ca(ScS2)2,graphene,contact,4.6,,,unknown (missing band edges),9.695362223147199e-08,0.8485880955741304
mp-17597,Ca(ScS2)2,Au,contact,5.1,,,unknown (missing band edges),9.695362223147199e-08,0.8485880955741304
mp-17597,Ca(ScS2)2,Ti,contact,4.3,,,unknown (missing band edges),9.695362223147199e-08,0.8485880955741304
mp-17597,Ca(ScS2)2,hBN,dielectric,,,,,9.695362223147199e-08,0.8485880955741304
mp-17597,Ca(ScS2)2,Al2O3,dielectric,,,,,9.695362223147199e-08,0.8485880955741304
mp-17597,Ca(ScS2)2,HfO2,dielectric,,,,,9.695362223147199e-08,0.8485880955741304
mp-22887,EuCl2,graphene,contact,4.6,,,unknown (missing band edges),9.05775817766178e-08,0.8893102169895271
mp-22887,EuCl2,Au,contact,5.1,,,unknown (missing band edges),9.05775817766178e-08,0.8893102169895271
mp-22887,EuCl2,Ti,contact,4.3,,,unknown (missing band edges),9.05775817766178e-08,0.8893102169895271
mp-22887,EuCl2,hBN,dielectric,,,,,9.05775817766178e-08,0.8893102169895271
mp-22887,EuCl2,Al2O3,dielectric,,,,,9.05775817766178e-08,0.8893102169895271
mp-22887,EuCl2,HfO2,dielectric,,,,,9.05775817766178e-08,0.8893102169895271
mp-569309,RbMnCl3,graphene,contact,4.6,,,unknown (missing band edges),9.040711326180577e-08,0.8285647548193819
mp-569309,RbMnCl3,Au,contact,5.1,,,unknown (missing band edges),9.040711326180577e-08,0.8285647548193819
