material_id,formula,band_gap_eV,density,nelements,baseline_score_v3,loc_ooc_score_robust_min
mp-9921,ZrS3,1.113299999999999,3.608861478892194,2,0.8109401227869206,1.2811569232217658e-07
mp-1211088,LiCaP,1.398699999999999,2.260729897133163,3,0.8305750612787466,1.201206909215623e-07
mp-36330,Li2VCl4,1.228499999999999,2.472475739965331,3,0.8265390366384177,1.1822185158952115e-07
mp-684,BaS2,1.598199999999999,3.693656366723054,2,0.8809865141187507,1.0181332619765322e-07
mp-22956,K2PdCl4,1.4279,2.656567630226341,3,0.8579266757297023,1.009928813089599e-07
mp-1186991,ScI3,1.6942,3.661873491465322,2,0.8513149772450497,9.903769526349381e-08
mp-541289,Y2S3,1.5992000000000002,3.8050672458027313,2,0.8818513189057992,9.879424775969825e-08
mp-7475,La2S3,1.0358,4.927142517339004,2,0.8196223389978112,9.740998108265609e-08
mp-17597,Ca(ScS2)2,1.286299999999998,2.93863183336667,3,0.8485880955741304,9.695362223147199e-08
mp-22887,EuCl2,1.214399999999999,4.871434851663826,2,0.8893102169895271,9.05775817766178e-08
mp-569309,RbMnCl3,1.3133,3.114640125663711,3,0.8285647548193819,9.040711326180577e-08
mp-28328,RbI3,1.6271,4.231923268152993,2,0.8297961529042935,8.788592021495327e-08
mp-1103889,Eu(AlS2)2,1.1797,3.433449314104583,3,0.8123851404529581,8.703923586798078e-08
mp-573763,Cs2Te,1.774,4.077192021558062,2,0.8169313315773099,8.639051659760223e-08
mp-22876,CsI3,1.6766,4.235257200307448,2,0.8250816483073278,8.61926890989417e-08
mp-9843,Sr3(AlP2)2,1.3365,3.259068581765055,3,0.8138436369515006,8.554273852462034e-08
mp-19795,InS,1.3508,4.920436511985393,2,0.8173771627617685,8.447231159800765e-08
mp-27138,K2PdBr4,1.204899999999999,3.498862059881381,3,0.8189750942100096,8.443581814299924e-08
mp-1209449,Rb3LuCl6,1.3029,3.38820470664767,3,0.8488520782621394,8.348293578454994e-08
mp-18612,Rb2MoS4,1.5750000000000002,3.037417623517359,3,0.8143006692273538,8.328383068024592e-08
mp-17678,Sr(ScS2)2,1.356999999999999,3.329279432980175,3,0.8613494346263261,8.301041861461652e-08
mp-8965,K2Sn2S5,1.406299999999999,3.269186103197366,3,0.8150123954323172,8.280432460466629e-08
mp-1211440,K2PbCl6,1.6065,3.089934362473732,3,0.8354006304971198,8.087894005277407e-08
mp-27181,KAuCl4,1.4257,3.368241353990244,3,0.8235960451281793,7.972639785252612e-08
mp-1102093,EuI2,1.3259,5.292732391321431,2,0.8700647790744307,7.93711584065807e-08
mp-1025201,Rb2PdCl4,1.7485,3.046260817114228,3,0.8424937778942369,7.780000210219888e-08
mp-1211293,La(YS2)3,1.0838,4.119286934675758,3,0.8178635694573559,7.58864708744434e-08
mp-558121,K4Ba(VS4)2,1.5514,2.545394677335719,4,0.8148744060969376,7.522635427757e-08
mp-18642,Ca(YS2)2,1.5361,3.454275226819853,3,0.8765165780431855,7.435653137686894e-08
mp-568986,KAuCl4,1.4211,3.670605181305291,3,0.8220877716694023,7.329798458437214e-08
mp-1223847,K2PdBrCl3,1.4958,2.726319700259406,4,0.8396103668798625,7.179879170818487e-08
mp-1078085,Cs2PdCl4,1.839,3.239031241324765,3,0.812330136375209,7.083728457958093e-08
mp-22934,K2PtCl4,1.819599999999999,3.378281991785835,3,0.8140850587268402,6.838471390268017e-08
mp-574040,K2SnBr6,1.6124,3.70306395236049,3,0.8398964193661875,6.733510580261164e-08
mp-1079673,ThSe3,1.2728,6.455077314213163,2,0.851026764963787,6.659950854692134e-08
mp-1173753,Na2Ga2Se3,1.362699999999999,4.158191571357681,3,0.8169624404525199,6.630241681324072e-08
mp-1146,ThS2,1.033599999999999,7.252511887947037,2,0.8178994374457851,6.624905853193497e-08
mp-1223861,K2PdBr3Cl,1.3535,3.140649133258201,4,0.8214760052833919,6.609522334870795e-08
mp-1079264,Nb(SBr)2,1.4107,4.090429157624129,3,0.8329296821564746,6.605875601261429e-08
mp-1095291,Li2SnSe3,1.479699999999999,3.980317975904259,3,0.8287220737092951,6.599720210432482e-08
mp-878,Ho2S3,1.4612999999999992,6.046408249359246,2,0.8853701095501049,6.565558489886917e-08
mp-7219,Na2ZrSe3,1.3166,4.3352198535060165,3,0.8389196582638127,6.486049450588164e-08
mp-29084,Ba2GdCl7,1.561499999999999,3.932393551520615,3,0.8836316165645112,6.46682485598556e-08
mp-27243,K2PtBr4,1.476999999999999,4.112557663438326,3,0.8158543993801805,6.394468133374856e-08
mp-2234,Er2S3,1.4691,6.204950661786847,2,0.8850935676488867,6.377591253009536e-08
mp-1227892,BaNaVS4,1.5001,3.098167206492576,4,0.8216284969228743,6.307270615816435e-08
mp-32689,Pr2Se3,1.475099999999999,6.297756108096001,2,0.8630290897146566,6.268376957422517e-08
mp-32798,La2Se3,1.58,6.045119341034584,2,0.8681874574243346,6.264827372115582e-08
mp-675237,Na3GdI6,1.549599999999999,4.171643768665064,3,0.8557793866683201,6.12439465097879e-08
mp-29035,Sr(YS2)2,1.8122,3.794902866439433,3,0.8365036958529667,6.10373354122338e-08
