material_id,formula,elements,nelements,band_gap_eV,energy_above_hull_eV,formation_energy_per_atom_eV,density,nsites,layered_score,anisotropy_ratio,layer_axis,axis_bonds_a,axis_bonds_b,axis_bonds_c,total_bonds,layered_invalid_reason,is_layered_candidate,weak_axis_fraction,layered_continuous,weak_axis,eg_target_score,score_stability_norm,score_eg_norm,score_layered_norm,score_formE_norm,complexity,score_complexity_norm,baseline_score_v3,gating_efficiency_eta,quantum_proxy,dielectric_proxy,surface_proxy,debye_length_nm_physio_0p15M,loc_ooc_score_physio_0p15M_2nm,loc_ooc_score_physio_0p15M_5nm,loc_ooc_score_physio_0p15M_10nm,debye_length_nm_diluted_0p01M,loc_ooc_score_diluted_0p01M_2nm,loc_ooc_score_diluted_0p01M_5nm,loc_ooc_score_diluted_0p01M_10nm,loc_ooc_score_robust_min,loc_ooc_score_main
mp-9921,ZrS3,"S,Zr",2,1.113299999999999,0.0,-1.574733515624998,3.608861478892194,8,1.0,0.0,c,24,8,0,36,,True,0.0,1.0,c,0.8124587583665489,1.0,0.7493721511546493,1.0,0.3943012144649757,28,0.9473684210526316,0.8109401227869206,0.6666666666666666,0.47319358349500806,0.27709570063824346,0.5,0.7849246248313698,0.003419466625265651,7.482984639336933e-05,1.2811569232217655e-07,3.0399999999999996,0.022637440705279083,0.008438150070546711,0.0016290976238513457,1.2811569232217655e-07,7.482984639336933e-05
mp-1211088,LiCaP,"Ca,Li,P",3,1.398699999999999,0.0,-1.190043544047618,2.260729897133163,12,1.0,0.0,b,48,0,0,72,,True,0.0,1.0,b,0.9858487366809982,1.0,0.981088439881742,1.0,0.2949358091731346,42,0.7631578947368421,0.8305750612787466,0.6666666666666666,0.416892483428524,0.4423350181143278,0.3333333333333333,0.7849246248313698,0.0032060763686716084,7.016012392706705e-05,1.2012069092156227e-07,3.0399999999999996,0.021224761533317097,0.007911571160424109,0.0015274345289692961,1.2012069092156227e-07,7.016012392706705e-05
mp-36330,Li2VCl4,"Cl,Li,V",3,1.228499999999999,0.001254277380949,-1.8482001111904751,2.472475739965331,14,1.0,0.0,a,0,4,16,64,,True,0.0,1.0,a,0.9026881581684276,0.9745963034996789,0.8699536395394489,1.0,0.4649376258866801,44,0.736842105263158,0.8265390366384177,0.6666666666666666,0.4487323311644606,0.40445290679132084,0.3333333333333333,0.7849246248313698,0.003155395475449503,6.905104936354671e-05,1.1822185158952114e-07,3.0399999999999996,0.020889245547657535,0.007786506923926625,0.0015032892069729508,1.1822185158952114e-07,6.905104936354671e-05
mp-684,BaS2,"Ba,S",2,1.598199999999999,0.0,-1.7528733849999991,3.693656366723054,6,1.0,0.0,a,0,16,0,36,,True,0.0,1.0,a,0.9866959034571708,1.0,0.982220583407082,1.0,0.4403147360717433,26,0.9736842105263158,0.8809865141187507,0.6666666666666666,0.3848818412747288,0.2707344432495712,0.5,0.7849246248313698,0.002717444402241244,5.94671536489806e-05,1.0181332619765322e-07,3.0399999999999996,0.017989936228972457,0.00670578373394632,0.001294641154245928,1.0181332619765322e-07,5.94671536489806e-05
mp-22956,K2PdCl4,"Cl,K,Pd",3,1.4279,0.0,-1.547152971071427,2.656567630226341,7,1.0,0.0,b,32,0,0,40,,True,0.0,1.0,b,0.992805987796247,1.0,0.9903860268809412,1.0,0.3871771608368087,37,0.8289473684210527,0.8579266757297023,0.6666666666666666,0.41187857819514806,0.37642557585285324,0.3333333333333333,0.7849246248313698,0.0026955463516285085,5.898794798820363e-05,1.009928813089599e-07,3.0399999999999996,0.017844967473130753,0.0066517463481279,0.0012842085148522297,1.009928813089599e-07,5.898794798820363e-05
mp-1186991,ScI3,"I,Sc",2,1.6942,0.0,-1.473445848749999,3.661873491465322,8,1.0,0.0,a,0,0,24,24,,True,0.0,1.0,a,0.9489681376858988,1.0,0.9318016494440712,1.0,0.3681386138938434,28,0.9473684210526316,0.8513149772450497,0.6666666666666666,0.3711676935639522,0.27308425655083013,0.5,0.7849246248313698,0.002643361538765431,5.784596242187063e-05,9.903769526349381e-08,3.0399999999999996,0.01749949528803164,0.006522970918916675,0.0012593466975125845,9.903769526349381e-08,5.784596242187063e-05
mp-541289,Y2S3,"S,Y",2,1.5992000000000002,0.0,-2.382647370687501,3.8050672458027313,30,1.0,0.0,b,96,0,0,156,,True,0.0,1.0,b,0.9864254214105808,1.0,0.9818591144420796,1.0,0.6029853330553439,50,0.6578947368421053,0.8818513189057992,0.6666666666666666,0.38473376423514927,0.26280744475753315,0.5,0.7849246248313698,0.0026368638131617646,5.770376954148513e-05,9.879424775969823e-08,3.0399999999999996,0.01745647925828439,0.006506936610128324,0.001256251059946434,9.879424775969823e-08,5.770376954148513e-05
mp-7475,La2S3,"La,S",2,1.0358,0.0,-2.508305558187499,4.927142517339004,20,1.0,0.0,b,80,0,0,120,,True,0.0,1.0,b,0.7413517606805745,1.0,0.6543456117520148,1.0,0.6354428381937742,40,0.7894736842105263,0.8196223389978112,0.6666666666666666,0.4912073877591119,0.20295739294751894,0.5,0.7849246248313698,0.0025999171002586362,5.6895246706124445e-05,9.740998108265609e-08,3.0399999999999996,0.01721188584233474,0.00641576393840623,0.0012386489573977862,9.740998108265609e-08,5.6895246706124445e-05
mp-17597,Ca(ScS2)2,"Ca,S,Sc",3,1.286299999999998,0.0,-2.252192421964285,2.93863183336667,28,1.0,0.0,b,112,0,0,160,,True,0.0,1.0,b,0.9385423045291956,1.0,0.917868690979898,1.0,0.5692888246720956,58,0.5526315789473684,0.8485880955741304,0.6666666666666666,0.43738791934566806,0.3402944147836107,0.3333333333333333,0.7849246248313698,0.0025877366730800173,5.662869651141071e-05,9.695362223147198e-08,3.0399999999999996,0.01713124937816117,0.006385706539484091,0.0012328459749011695,9.695362223147198e-08,5.662869651141071e-05
mp-22887,EuCl2,"Cl,Eu",2,1.214399999999999,0.0,-2.6734610466666693,4.871434851663826,12,1.0,0.0,b,48,0,0,72,,True,0.0,1.0,b,0.8928934697630899,1.0,0.8568641353559534,1.0,0.6781024947000623,32,0.8947368421052632,0.8893102169895271,0.6666666666666666,0.45158959537572274,0.2052783277309872,0.5,0.7849246248313698,0.0024175572271313535,5.290457716906797e-05,9.05775817766178e-08,3.0399999999999996,0.016004632996396997,0.0059657580910251855,0.0011517693154669605,9.05775817766178e-08,5.290457716906797e-05
