material_id,formula,elements,nelements,band_gap_eV,energy_above_hull_eV,formation_energy_per_atom_eV,density,nsites,layered_score,anisotropy_ratio,layer_axis,axis_bonds_a,axis_bonds_b,axis_bonds_c,total_bonds,layered_invalid_reason,is_layered_candidate,weak_axis_fraction,layered_continuous,weak_axis,eg_target_score,score_stability_norm,score_eg_norm,score_layered_norm,score_formE_norm,complexity,score_complexity_norm,baseline_score_v3,gating_efficiency_eta,quantum_proxy,dielectric_proxy,surface_proxy,debye_length_nm_physio_0p15M,loc_ooc_score_physio_0p15M_2nm,loc_ooc_score_physio_0p15M_5nm,loc_ooc_score_physio_0p15M_10nm,debye_length_nm_diluted_0p01M,loc_ooc_score_diluted_0p01M_2nm,loc_ooc_score_diluted_0p01M_5nm,loc_ooc_score_diluted_0p01M_10nm,loc_ooc_score_robust_min,loc_ooc_score_main,formula_norm,formula_reduced,element_set_key,ext_source,ext_id,formula_ext,band_gap_eV_ext,vbm_eV,cbm_eV,work_function_eV,magmom,piezo_proxy,dielectric_proxy_ext,elastic_proxy,formula_norm_ext,eg_used,tag_photonics,tag_magnetic,tag_piezo_MEMS,tag_bio_robust,has_magmom,has_piezo,multiphysics_tags
mp-9921,ZrS3,"S,Zr",2,1.113299999999999,0.0,-1.574733515624998,3.608861478892194,8,1.0,0.0,c,24,8,0,36,,True,0.0,1.0,c,0.8124587583665489,1.0,0.7493721511546493,1.0,0.3943012144649757,28,0.9473684210526316,0.8109401227869206,0.6666666666666666,0.473193583495008,0.2770957006382434,0.5,0.7849246248313698,0.0034194666252656,7.482984639336933e-05,1.2811569232217658e-07,3.04,0.022637440705279,0.0084381500705467,0.0016290976238513,1.2811569232217658e-07,7.482984639336933e-05,ZrS3,ZrS3,S-Zr,,,,,,,,,,,,,1.113299999999999,True,unknown,unknown,True,False,False,"bio-robust,photonics,magnetic:unknown,piezo/MEMS:unknown"
mp-1211088,LiCaP,"Ca,Li,P",3,1.398699999999999,0.0,-1.190043544047618,2.260729897133163,12,1.0,0.0,b,48,0,0,72,,True,0.0,1.0,b,0.9858487366809982,1.0,0.981088439881742,1.0,0.2949358091731346,42,0.7631578947368421,0.8305750612787466,0.6666666666666666,0.416892483428524,0.4423350181143278,0.3333333333333333,0.7849246248313698,0.0032060763686716,7.016012392706705e-05,1.201206909215623e-07,3.04,0.021224761533317,0.0079115711604241,0.0015274345289692,1.201206909215623e-07,7.016012392706705e-05,LiCaP,LiCaP,Ca-Li-P,,,,,,,,,,,,,1.398699999999999,True,unknown,unknown,True,False,False,"bio-robust,photonics,magnetic:unknown,piezo/MEMS:unknown"
mp-36330,Li2VCl4,"Cl,Li,V",3,1.228499999999999,0.001254277380949,-1.8482001111904751,2.472475739965331,14,1.0,0.0,a,0,4,16,64,,True,0.0,1.0,a,0.9026881581684276,0.9745963034996789,0.8699536395394489,1.0,0.4649376258866801,44,0.736842105263158,0.8265390366384177,0.6666666666666666,0.4487323311644606,0.4044529067913208,0.3333333333333333,0.7849246248313698,0.0031553954754495,6.905104936354671e-05,1.1822185158952115e-07,3.04,0.0208892455476575,0.0077865069239266,0.0015032892069729,1.1822185158952115e-07,6.905104936354671e-05,Li2VCl4,Li2VCl4,Cl-Li-V,,,,,,,,,,,,,1.228499999999999,True,unknown,unknown,True,False,False,"bio-robust,photonics,magnetic:unknown,piezo/MEMS:unknown"
mp-684,BaS2,"Ba,S",2,1.598199999999999,0.0,-1.7528733849999991,3.693656366723054,6,1.0,0.0,a,0,16,0,36,,True,0.0,1.0,a,0.9866959034571708,1.0,0.982220583407082,1.0,0.4403147360717433,26,0.9736842105263158,0.8809865141187507,0.6666666666666666,0.3848818412747288,0.2707344432495712,0.5,0.7849246248313698,0.0027174444022412,5.94671536489806e-05,1.0181332619765322e-07,3.04,0.0179899362289724,0.0067057837339463,0.0012946411542459,1.0181332619765322e-07,5.94671536489806e-05,BaS2,BaS2,Ba-S,,,,,,,,,,,,,1.598199999999999,True,unknown,unknown,True,False,False,"bio-robust,photonics,magnetic:unknown,piezo/MEMS:unknown"
mp-22956,K2PdCl4,"Cl,K,Pd",3,1.4279,0.0,-1.547152971071427,2.656567630226341,7,1.0,0.0,b,32,0,0,40,,True,0.0,1.0,b,0.992805987796247,1.0,0.9903860268809412,1.0,0.3871771608368087,37,0.8289473684210527,0.8579266757297023,0.6666666666666666,0.411878578195148,0.3764255758528532,0.3333333333333333,0.7849246248313698,0.0026955463516285,5.898794798820363e-05,1.009928813089599e-07,3.04,0.0178449674731307,0.0066517463481279,0.0012842085148522,1.009928813089599e-07,5.898794798820363e-05,K2PdCl4,K2PdCl4,Cl-K-Pd,,,,,,,,,,,,,1.4279,True,unknown,unknown,True,False,False,"bio-robust,photonics,magnetic:unknown,piezo/MEMS:unknown"
mp-1186991,ScI3,"I,Sc",2,1.6942,0.0,-1.473445848749999,3.661873491465322,8,1.0,0.0,a,0,0,24,24,,True,0.0,1.0,a,0.9489681376858988,1.0,0.9318016494440712,1.0,0.3681386138938434,28,0.9473684210526316,0.8513149772450497,0.6666666666666666,0.3711676935639522,0.2730842565508301,0.5,0.7849246248313698,0.0026433615387654,5.784596242187063e-05,9.903769526349381e-08,3.04,0.0174994952880316,0.0065229709189166,0.0012593466975125,9.903769526349381e-08,5.784596242187063e-05,ScI3,ScI3,I-Sc,,,,,,,,,,,,,1.6942,True,unknown,unknown,True,False,False,"bio-robust,photonics,magnetic:unknown,piezo/MEMS:unknown"
mp-541289,Y2S3,"S,Y",2,1.5992000000000002,0.0,-2.382647370687501,3.8050672458027313,30,1.0,0.0,b,96,0,0,156,,True,0.0,1.0,b,0.9864254214105808,1.0,0.9818591144420796,1.0,0.6029853330553439,50,0.6578947368421053,0.8818513189057992,0.6666666666666666,0.3847337642351492,0.2628074447575331,0.5,0.7849246248313698,0.0026368638131617,5.770376954148513e-05,9.879424775969825e-08,3.04,0.0174564792582843,0.0065069366101283,0.0012562510599464,9.879424775969825e-08,5.770376954148513e-05,Y2S3,Y2S3,S-Y,,,,,,,,,,,,,1.5992000000000002,True,unknown,unknown,True,False,False,"bio-robust,photonics,magnetic:unknown,piezo/MEMS:unknown"
mp-7475,La2S3,"La,S",2,1.0358,0.0,-2.508305558187499,4.927142517339004,20,1.0,0.0,b,80,0,0,120,,True,0.0,1.0,b,0.7413517606805745,1.0,0.6543456117520148,1.0,0.6354428381937742,40,0.7894736842105263,0.8196223389978112,0.6666666666666666,0.4912073877591119,0.2029573929475189,0.5,0.7849246248313698,0.0025999171002586,5.6895246706124445e-05,9.740998108265609e-08,3.04,0.0172118858423347,0.0064157639384062,0.0012386489573977,9.740998108265609e-08,5.6895246706124445e-05,La2S3,La2S3,La-S,,,,,,,,,,,,,1.0358,True,unknown,unknown,True,False,False,"bio-robust,photonics,magnetic:unknown,piezo/MEMS:unknown"
mp-17597,Ca(ScS2)2,"Ca,S,Sc",3,1.286299999999998,0.0,-2.252192421964285,2.93863183336667,28,1.0,0.0,b,112,0,0,160,,True,0.0,1.0,b,0.9385423045291956,1.0,0.917868690979898,1.0,0.5692888246720956,58,0.5526315789473684,0.8485880955741304,0.6666666666666666,0.437387919345668,0.3402944147836107,0.3333333333333333,0.7849246248313698,0.00258773667308,5.662869651141071e-05,9.695362223147199e-08,3.04,0.0171312493781611,0.006385706539484,0.0012328459749011,9.695362223147199e-08,5.662869651141071e-05,Ca(ScS2)2,Ca(ScS2)2,Ca-S-Sc,,,,,,,,,,,,,1.286299999999998,True,unknown,unknown,True,False,False,"bio-robust,photonics,magnetic:unknown,piezo/MEMS:unknown"
mp-22887,EuCl2,"Cl,Eu",2,1.214399999999999,0.0,-2.6734610466666693,4.871434851663826,12,1.0,0.0,b,48,0,0,72,,True,0.0,1.0,b,0.8928934697630899,1.0,0.8568641353559534,1.0,0.6781024947000623,32,0.8947368421052632,0.8893102169895271,0.6666666666666666,0.4515895953757227,0.2052783277309872,0.5,0.7849246248313698,0.0024175572271313,5.290457716906797e-05,9.05775817766178e-08,3.04,0.0160046329963969,0.0059657580910251,0.0011517693154669,9.05775817766178e-08,5.290457716906797e-05,EuCl2,EuCl2,Cl-Eu,,,,,,,,,,,,,1.214399999999999,True,unknown,unknown,True,False,False,"bio-robust,photonics,magnetic:unknown,piezo/MEMS:unknown"
mp-569309,RbMnCl3,"Cl,Mn,Rb",3,1.3133,0.0,-1.823708969086208,3.114640125663711,30,1.0,0.0,c,32,32,0,168,,True,0.0,1.0,c,0.95274084602764,1.0,0.93684345165142,1.0,0.4586115647957919,60,0.5263157894736843,0.8285647548193819,0.6666666666666666,0.4322828859205464,0.3210643797208854,0.3333333333333333,0.7849246248313698,0.0024130073442365,5.28050098752644e-05,9.040711326180577e-08,3.04,0.0159745120110108,0.0059545304351134,0.0011496016664663,9.040711326180577e-08,5.28050098752644e-05,RbMnCl3,RbMnCl3,Cl-Mn-Rb,,,,,,,,,,,,,1.3133,True,unknown,unknown,True,False,False,"bio-robust,photonics,magnetic:unknown,piezo/MEMS:unknown"
mp-28328,RbI3,"I,Rb",2,1.6271,0.0,-1.074112831874999,4.231923268152993,16,1.0,0.0,b,48,0,0,96,,True,0.0,1.0,b,0.977813149818596,1.0,0.9703497779152284,1.0,0.2649909105484849,36,0.8421052631578947,0.8297961529042935,0.6666666666666666,0.3806478626622511,0.2362991804519287,0.5,0.7849246248313698,0.0023457155447441,5.133243079455685e-05,8.788592021495327e-08,3.04,0.0155290290489302,0.0057884757941826,0.0011175425991698,8.788592021495327e-08,5.133243079455685e-05,RbI3,RbI3,I-Rb,,,,,,,,,,,,,1.6271,True,unknown,unknown,True,False,False,"bio-robust,photonics,magnetic:unknown,piezo/MEMS:unknown"
mp-1103889,Eu(AlS2)2,"Al,Eu,S",3,1.1797,0.0,-1.6562228723214272,3.433449314104583,14,1.0,0.0,c,16,16,0,64,,True,0.0,1.0,c,0.8671970813634132,1.0,0.8225237899014735,1.0,0.4153499122563694,44,0.736842105263158,0.8123851404529581,0.6666666666666666,0.45877873101803,0.2912522971846439,0.3333333333333333,0.7849246248313698,0.0023231171509476,5.0837899184265926e-05,8.703923586798078e-08,3.04,0.0153794239041328,0.0057327101853595,0.0011067763032321,8.703923586798078e-08,5.0837899184265926e-05,Eu(AlS2)2,Eu(AlS2)2,Al-Eu-S,,,,,,,,,,,,,1.1797,True,unknown,unknown,True,False,False,"bio-robust,photonics,magnetic:unknown,piezo/MEMS:unknown"
