query_label,material_id,formula,elements,nelements,band_gap_eV,energy_above_hull_eV,formation_energy_per_atom_eV,density,nsites
Mo-S,mp-1239183,MoS3,"Mo,S",2,0.014299999999999001,1.49674472921875,0.7721378203125011,1.149118597402894,4
Mo-S,mp-1239169,MoS3,"Mo,S",2,0.7267,0.302931747968749,-0.4216751609375,3.048133057110382,8
Mo-S,mp-1042086,MoS2,"Mo,S",2,0.041800000000000004,0.647500996666668,-0.31864154854166504,3.271134546853978,6
Mo-S,mp-1434,MoS2,"Mo,S",2,1.2042,0.0,-0.9661425452083321,4.669644630696905,3
Mo-S,mp-1023939,MoS2,"Mo,S",2,1.5539,0.0072357949999990005,-0.958906750208332,2.793155399236568,6
Mo-S,mp-1027525,MoS2,"Mo,S",2,1.463999999999999,0.0036815349999980004,-0.9624610102083341,3.512864135007714,12
Mo-S,mp-1238797,MoS2,"Mo,S",2,0.0,0.296303813333334,-0.6698387318749981,4.667732420508524,3
Mo-S,mp-558544,MoS2,"Mo,S",2,0.0,0.279717186666669,-0.6864253585416641,4.768964188289766,3
Mo-S,mp-1023924,MoS2,"Mo,S",2,1.6605999999999992,0.014439913333333,-0.951702631874998,1.746361466702365,3
Mo-S,mp-1025874,MoS2,"Mo,S",2,1.5093,0.004413344444444,-0.9617292007638881,3.199447346194123,9
Mo-S,mp-1018809,MoS2,"Mo,S",2,1.3361,0.0023892399999990003,-0.963753305208333,4.5904816488390665,6
Mo-S,mp-2815,MoS2,"Mo,S",2,1.464899999999999,0.001692728333331,-0.9644498168750011,4.502639494068752,6
Mo-S,mp-1405065,MoS2,"Mo,S",2,0.0,0.267543035833332,-0.698599509375,4.808104566142248,12
Mo-S,mp-990083,MoS2,"Mo,S",2,0.0,0.166356818703704,-0.7997857265046291,2.67200365789618,54
Mo-S,mp-1239203,MoS3,"Mo,S",2,0.0,0.6021521092187491,-0.122454799687499,3.7232414434260592,4
Mo-S,mp-1211453,MoS6,"Mo,S",2,0.21579999999999902,1.293683485357142,0.879622394553568,0.130782390478824,7
Mo-S,mp-2646974,MoSO,"Mo,O,S",3,0.1438,0.8708893324999991,-0.7411964266666661,3.625240444677282,12
Mo-S,mp-1216784,TiMoS3,"Mo,S,Ti",3,0.0,0.041086732999995004,-1.368228251166665,4.680452598492149,10
Mo-S,mp-1220398,NbMoS3,"Mo,Nb,S",3,0.0,0.06579250216667301,-1.182717036499998,5.392449876667375,10
Mo-S,mp-1205799,Mo(SI)2,"I,Mo,S",3,0.0,0.12121609200000001,-0.600353705999999,4.344035157290744,10
Mo-S,mp-30285,Sb2MoS,"Mo,S,Sb",3,0.0,0.0,-0.391291911953125,6.328635807443116,32
Mo-S,mp-27866,MoS2Cl3,"Cl,Mo,S",3,1.4385000000000001,0.0,-0.7789774501041671,3.104310044976815,24
Mo-S,mp-565836,MoSO6,"Mo,O,S",3,3.0825,0.0,-1.798556277916668,3.092376615300725,96
Mo-S,mp-1023953,MoSeS,"Mo,S,Se",3,0.680299999999999,0.020955486666675002,-0.8370842072916651,3.387974796894911,6
Mo-S,mp-1023954,MoWS4,"Mo,S,W",3,1.3369,0.007309834999997,-0.917551441874999,3.568585227060868,6
Mo-S,mp-1023959,TeMoS,"Mo,S,Te",3,0.0,0.078027441666669,-0.55872971427083,3.636937044939458,6
Mo-S,mp-1026034,Mo(WS3)2,"Mo,S,W",3,1.1932,0.004752774444451001,-0.9063480796527771,4.382259890784046,9
Mo-S,mp-1027273,MoW3S8,"Mo,S,W",3,1.2576,0.003646317499999,-0.900574325208332,4.892590883709115,12
Mo-S,mp-1027335,MoWS4,"Mo,S,W",3,1.2209,0.003395366666666,-0.921465910208333,4.456294290335548,12
Mo-S,mp-1027412,TeMoS,"Mo,S,Te",3,0.0,0.077233061666667,-0.559524094270832,4.527623852609218,12
Mo-S,mp-1027580,MoSeS,"Mo,S,Se",3,0.6547000000000001,0.01700131250001,-0.8410383814583301,4.221455958899935,12
Mo-S,mp-1027647,MoWS4,"Mo,S,W",3,1.2003,0.0034977966666680004,-0.921363480208332,4.437776863047781,12
Mo-S,mp-1027687,MoSeS,"Mo,S,Se",3,0.6042000000000001,0.017633252500008002,-0.8404064414583321,4.220806771895146,12
Mo-S,mp-1027738,TeMoS,"Mo,S,Te",3,0.0,0.078102498333333,-0.558654657604165,4.365974755277524,12
Mo-S,mp-1029246,MoW3S8,"Mo,S,W",3,1.2245,0.003585132499999,-0.9006355102083311,4.925234264426175,12
Mo-S,mp-1026916,MoSeS,"Mo,S,Se",3,0.607699999999999,0.017588861666677003,-0.8404508322916651,4.231887529730203,12
Mo-S,mp-1027269,MoWS4,"Mo,S,W",3,1.245,0.0036855074999980002,-0.9211757693749991,4.439869567420761,12
Mo-S,mp-1027358,TeMoS,"Mo,S,Te",3,0.0,0.07758208250000101,-0.5591750734374961,4.362788495004773,12
